1560,10,1.426,4,2.5,420,300,3.23651139168192
1520,5,1.81,4,1.5,180,760,2.60820786092435
1520,50,1.747,3.5,2.7,460,340,2.96512015516333
1540,5,1.81,2.2,1.4,360,160,1.64674415255943
1600,10,1.444,3.5,2.5,440,480,2.93720434169058
1600,75,1.37,3.5,1.6,380,200,2.17522130661003
1560,0,1.444,3.6,1.8,360,500,2.78755937356279
1540,20,1.37,3.9,1.9,260,340,2.49647765986684
1520,15,3,3.7,2.8,420,740,3.36257407127328
1560,50,3,3.4,2.3,140,180,2.89631671736908
1600,0,2.456,4,2.2,480,520,3.52231172203205
1540,100,1.37,3.7,2.1,400,680,3.14031508155777
1560,50,1.426,4,2.3,160,620,2.50958265571725
1520,75,1.37,3.5,2.4,500,580,3.08235594709922
1580,5,1.444,2.6,1.6,260,660,1.67052481433522
1600,15,1.37,3.7,2.2,460,520,3.14367978621132
1520,20,1.37,2.8,1.4,360,260,1.64810350019817
1540,20,1.426,4,2.8,160,400,2.74699321390332
1500,50,2.456,2.9,1.7,480,640,2.53531478541178
1580,75,2.456,3.8,1.3,180,660,2.56081025870422
1600,10,1.444,2.7,1.9,160,140,1.75612036981231
1520,15,1.81,3.9,2.2,420,540,3.36692747493438
1520,100,3,3.3,2.1,280,360,2.92532616824671
1580,0,1.444,3.3,1.9,260,540,2.14048338566896
1580,100,1.37,3.8,1.9,260,380,2.48960505719374
1520,20,3.5,4,1.3,140,600,3.41439766452331
1580,75,2.456,3.9,3.1,460,740,3.55915993775545
1520,15,1.81,3.9,2.5,380,640,3.3627087847855
1520,100,3.5,3.9,1.4,240,460,3.43677975927883
1500,50,1.747,3.1,2.3,340,260,2.35127380426463
1500,0,1.37,2.9,1.9,300,660,2.09924651002996
1540,75,1.81,3.6,2.1,360,420,2.84030992643968
1560,15,1.426,3.7,2.3,260,680,2.69979189679858
1540,5,1.81,3.7,2.2,200,380,2.31032447005218
1500,100,1.747,4,1.3,280,140,2.56235481199999
1600,15,1.747,3.8,2.6,480,240,3.02751016314848
1520,75,2.456,3.5,2.4,480,140,2.63926481124549
1600,10,3,3.5,2.2,300,580,2.98042457101535
1500,10,3,4,3.3,340,580,3.58078651991746
1600,5,1.81,3.8,1.3,440,260,2.78060432688878
1560,100,1.426,3.3,1.5,460,480,2.66126167287457
1560,50,1.444,2.4,1.6,300,600,1.66241428077861
1580,10,1.444,3.5,2.6,380,540,2.91035726904491
1580,0,1.81,3.4,1.6,460,760,2.90518694145624
1560,15,2.456,3.7,1.6,240,280,2.43236069968749
1600,5,1.426,3.1,1.7,220,580,1.7708519740453
1540,75,1.37,3.6,1.6,280,280,2.16617616005632
1520,100,1.37,4,1.3,320,460,3.06309838653619
1540,75,1.426,3.3,1.8,460,360,2.59179958768675
1500,10,1.426,3.6,2.3,420,640,3.10266233773279
1520,0,2.456,3.8,1.8,340,540,3.11361699162442
1580,75,1.81,3.8,1.8,320,500,2.89529538245715
